Spain,82,86,83
Brazil,82,86,83
England,84,84,80
Portugal,85,83,83
France,87,82,85
Argentina,84,85,80
Germany,79,82,84
Italy,83,83,83
Netherlands,82,85,83
Belgium,82,84,79
Uruguay,81,80,80
Croatia,78,79,78
Colombia,80,80,77
Denmark,77,78,77
Ivory Coast,79,80,76
Serbia,80,80,75
Austria,79,75,79
Switzerland,77,78,78
Ghana,80,76,74
Mexico,78,76,74
Morocco,81,77,80
Norway,82,78,75
Senegal,79,76,77
Algeria,77,78,76
Turkey,77,78,76
Poland,83,75,76
Sweden,87,78,77
Chile,76,77,76
Nigeria,80,75,74
Czechia,77,76,74
Ecuador,75,77,76
Greece,75,75,77
Scotland,77,78,75
Ukraine,77,75,76
USA,75,79,77
Democratic Republic of the Congo,77,74,74
DRC,77,74,74
DR Congo,77,74,74
Japan,74,77,74
South Korea,78,74,73
Venezuela,78,75,72
Bosnia and Herzegovina,77,75,72
Cameroon,74,76,74
Mali,75,76,73
Russia,76,75,73
Slovakia,73,75,76
Egypt,73,77,73
Paraguay,74,75,74
Guinea,74,75,73
Wales,72,73,75
Iran,76,73,72
South Africa,79,72,70
Albania,73,73,74
Costa Rica,75,72,73
Cuba,75,72,73
Hungary,75,74,74
Slovenia,72,74,73
Burkina Faso,73,72,73
Canada,76,72,70
Kosovo,75,71,72
Angola,73,70,74
Gabon,77,72,68
Australia,75,71,70
Ireland,73,73,75
Montenegro,71,70,75
Peru,72,73,71
Romania,73,74,72
Cape Verde,75,71,68
Israel,74,70,70
Jamaica,74,71,69
Honduras,73,70,70
Tunisia,71,72,70
UAE,74,70,69
Guinea-Bissau,72,71,69
Comoros,66,74,71
Georgia,72,70,69
Iceland,73,71,69
Qatar,72,71,68
Benin,71,70,69
Panama,71,69,70
Saudi Arabia,68,71,71
Uzbekistan,72,69,69
Finland,72,73,67
North Macedonia,68,71,70
Northern Ireland,66,71,70
Zimbabwe,71,67,71
Republic of the Congo,73,69,66
Mozambique,66,70,71
Suriname,72,65,70
Armenia,70,70,66
China,69,68,69
New Zealand,70,70,68
Philippines,74,68,64
Belarus,69,68,68
Bulgaria,67,69,69
Togo,70,67,68
Kenya,71,66,67
Sierra Leone,70,65,69
Zambia,72,69,63
Haiti,68,66,69
Cyprus,68,67,67
Equatorial Guinea,67,68,67
Ethiopia,69,65,67
Curacao,67,69,64
Dominican Republic,69,63,68
Madagascar,64,68,68
Uganda,68,66,66
Central African Republic,64,69,66
Kazakhstan,65,68,66
Liberia,66,67,66
Luxembourg,63,70,66
Bahrain,66,68,64
Oman,71,64,63
Azerbaijan,65,66,66
Bolivia,66,66,65
Iraq,65,68,64
North Korea,67,61,69
Trinidad and Tobago,66,65,66
Mauritania,65,66,64
Malawi,71,64,59
Moldova,63,65,66
Burundi,64,65,64
Estonia,63,65,65
Lebanon,64,65,64
Libya,62,69,62
Jordan,63,63,66
Niger,64,69,59
Palestine,64,64,64
Thailand,64,65,63
Guatemala,65,64,62
Guyana,63,65,63
Lithuania,65,63,63
Syria,65,63,62
Tanzania,65,63,62
Grenada,62,66,61
Kuwait,64,63,61
Latvia,66,58,64
Hong Kong,66,58,63
Sudan,64,61,62
India,65,60,61
Martinique,63,62,61
Vietnam,61,63,62
Antigua and Barbuda,62,61,61
Turkmenistan,62,61,61
Botswana,63,62,58
El Salvador,62,61,60
Tahiti,63,59,61
Afghanistan,61,60,61
Rwanda,59,63,60
St Kitts and Nevis,61,61,60
Reunion,59,62,61
